indicator,base-per,Unit,Date,Value
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2017M10,1.25
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2017M11,1.25
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2017M12,1.25
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2018M1,1.25
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2018M2,1.25
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2018M3,1.25
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2018M4,1.25
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2018M5,1.25
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2018M6,1.25
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2018M7,1.25
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2018M8,1.25
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2018M9,1.25
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2018M10,1.25
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2018M11,1.25
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2018M12,1.25
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2019M1,1.25
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2019M2,1.25
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2019M3,1.25
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2019M4,1.25
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2019M5,1.25
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2019M6,1.25
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2019M7,1.25
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2019M8,1.25
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2019M9,1.25
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2019M10,1.25
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2019M11,1.25
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2019M12,1.25
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2020M1,1.25
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2020M2,1.25
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2020M3,1.25
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2020M4,1.25
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2020M5,1.25
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2020M6,1.25
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2020M7,1.25
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2020M8,1.25
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2020M9,1.25
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2020M10,1.25
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2020M11,1.25
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2020M12,1.25
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2021M1,1.25
